date,GlobHor,DiffHor,GlobInc,T_Amb,TArray,EArray,E_Grid,IArray,UArray,ArrayON
1/1/1990 0:00,0,0,0,-8.7003,0,0,-13.214,0,0,0
1/1/1990 1:00,0,0,0,-8.9598,0,0,-13.214,0,0,0
1/1/1990 2:00,0,0,0,-9.2201,0,0,-13.214,0,0,0
1/1/1990 3:00,0,0,0,-9.3599,0,0,-13.214,0,0,0
1/1/1990 4:00,0,0,0,-9.4998,0,0,-13.214,0,0,0
1/1/1990 5:00,0,0,0,-9.6299,0,0,-13.214,0,0,0
1/1/1990 6:00,0,0,0,-9.7301,0,0,-13.214,0,0,0
1/1/1990 7:00,0,0,0,-9.8303,0,0,-13.214,0,0,0
1/1/1990 8:00,1.6014,1.5977,0,-9.7697,0,0,-13.214,0,0,0
1/1/1990 9:00,37.097,37.097,37.199,-8.9,-8.0425,406.55,372.02,373.52,1088.4,1
1/1/1990 10:00,70.504,69.702,74.324,-8.0699,-6.3726,855.09,809.64,770.59,1109.7,1
1/1/1990 11:00,103.7,94.599,135.75,-7.2502,-4.1523,1604.5,1546.3,1430.7,1121.5,1
1/1/1990 12:00,112.8,100.1,152.84,-6.6699,-3.1801,1811,1749.2,1615.2,1121.2,1
1/1/1990 13:00,85.794,81.3,106.88,-6.5203,-4.078,1249.6,1197.5,1122.4,1113.3,1
1/1/1990 14:00,25.595,25.595,21.232,-7.0603,-6.562,215.86,188.9,204.42,1055.9,1
1/1/1990 15:00,2.799,2.799,0,-7.7199,0,0,-13.214,0,0,0
1/1/1990 16:00,0,0,0,-7.7303,0,0,-13.214,0,0,0
1/1/1990 17:00,0,0,0,-7.7401,0,0,-13.214,0,0,0
1/1/1990 18:00,0,0,0,-7.7498,0,0,-13.214,0,0,0
1/1/1990 19:00,0,0,0,-7.7498,0,0,-13.214,0,0,0
1/1/1990 20:00,0,0,0,-7.7602,0,0,-13.214,0,0,0
1/1/1990 21:00,0,0,0,-7.77,0,0,-13.214,0,0,0
1/1/1990 22:00,0,0,0,-7.7797,0,0,-13.214,0,0,0
1/1/1990 23:00,0,0,0,-7.7902,0,0,-13.214,0,0,0
1/2/1990 0:00,0,0,0,-7.7303,0,0,-13.214,0,0,0
1/2/1990 1:00,0,0,0,-7.6301,0,0,-13.214,0,0,0
1/2/1990 2:00,0,0,0,-7.5299,0,0,-13.214,0,0,0
1/2/1990 3:00,0,0,0,-7.4603,0,0,-13.214,0,0,0
1/2/1990 4:00,0,0,0,-7.3901,0,0,-13.214,0,0,0
1/2/1990 5:00,0,0,0,-7.3302,0,0,-13.214,0,0,0
1/2/1990 6:00,0,0,0,-7.2697,0,0,-13.214,0,0,0
1/2/1990 7:00,0,0,0,-7.2099,0,0,-13.214,0,0,0
1/2/1990 8:00,1.1976,1.1976,0,-7.0902,0,0,-13.214,0,0,0
1/2/1990 9:00,44.895,40.699,65.441,-5.5197,-4.0269,739.89,696.96,675.8,1094.8,1
1/2/1990 10:00,58.904,58.9,57.451,-4.6402,-3.3207,643.3,602.3,591.94,1086.8,1
1/2/1990 11:00,66.995,66.995,64.003,-4.0397,-2.572,717.13,674.82,659.26,1087.8,1
1/2/1990 12:00,110.8,97.697,149.83,-3.0503,0.3829,1757.3,1697,1588.5,1106.3,1
1/2/1990 13:00,63.695,63.695,61.628,-2.9299,-1.514,688.09,646.48,635.98,1081.9,1
1/2/1990 14:00,70.894,55.802,129.97,-2.7601,0.2066,1521.4,1465.3,1379.9,1102.5,1
1/2/1990 15:00,12.895,12.895,10.63,-3.4198,-3.1604,90.089,67.792,89.913,1002,1
1/2/1990 16:00,0,0,0,-3.6202,0,0,-13.214,0,0,0
1/2/1990 17:00,0,0,0,-3.8199,0,0,-13.214,0,0,0
1/2/1990 18:00,0,0,0,-4.03,0,0,-13.214,0,0,0
1/2/1990 19:00,0,0,0,-4.2297,0,0,-13.214,0,0,0
1/2/1990 20:00,0,0,0,-4.4301,0,0,-13.214,0,0,0
1/2/1990 21:00,0,0,0,-4.6402,0,0,-13.214,0,0,0
1/2/1990 22:00,0,0,0,-4.8399,0,0,-13.214,0,0,0
1/2/1990 23:00,0,0,0,-5.0403,0,0,-13.214,0,0,0
1/3/1990 0:00,0,0,0,-5.3903,0,0,-13.214,0,0,0
1/3/1990 1:00,0,0,0,-5.7897,0,0,-13.214,0,0,0
1/3/1990 2:00,0,0,0,-6.2802,0,0,-13.214,0,0,0
1/3/1990 3:00,0,0,0,-6.6198,0,0,-13.214,0,0,0
1/3/1990 4:00,0,0,0,-6.7499,0,0,-13.214,0,0,0
1/3/1990 5:00,0,0,0,-6.8703,0,0,-13.214,0,0,0
1/3/1990 6:00,0,0,0,-7.0303,0,0,-13.214,0,0,0
1/3/1990 7:00,0,0,0,-7.2001,0,0,-13.214,0,0,0
